,HHID,Subward,SalienceIndex,Risk_Norm,CompositeRisk
0,2301006,2301,1.0075757575757576,0.16666666666666666,0.16792929292929293
1,2301007,2301,1.0133689839572193,0.0,0.0
2,2301013,2301,1.0093582887700536,0.0,0.0
3,2301016,2301,1.0,0.5,0.5
4,2301017,2301,1.0071301247771836,0.3333333333333333,0.3357100415923945
5,2301021,2301,1.0040106951871657,0.16666666666666666,0.1673351158645276
6,2301029,2301,1.016934046345811,-0.16666666666666666,-0.1694890077243018
7,2301037,2301,1.0098039215686274,0.5,0.5049019607843137
8,2301038,2301,1.0098039215686274,0.0,0.0
9,2301041,2301,1.0106951871657754,0.6666666666666666,0.6737967914438503
10,2301043,2301,1.001336898395722,-0.16666666666666666,-0.16688948306595366
11,2301044,2301,1.0098039215686274,0.6666666666666666,0.6732026143790849
12,2301046,2301,1.0093582887700536,0.3333333333333333,0.3364527629233512
13,2301047,2301,1.0089126559714796,-0.3333333333333333,-0.33630421865715987
14,2301048,2301,1.0089126559714796,0.6666666666666666,0.6726084373143197
15,2301053,2301,1.0102495543672014,1.0,1.0102495543672014
16,2301056,2301,1.0111408199643495,0.5,0.5055704099821747
17,2301057,2301,1.0098039215686274,0.0,0.0
18,2301058,2301,1.0106951871657754,-0.3333333333333333,-0.33689839572192515
19,2301059,2301,1.0089126559714796,0.0,0.0
20,2301060,2301,1.0129233511586453,-0.16666666666666666,-0.16882055852644087
21,2301068,2301,1.0178253119429592,-0.16666666666666666,-0.16963755199049319
22,2301069,2301,1.0062388591800357,0.16666666666666666,0.16770647653000595
23,2301070,2301,1.0111408199643495,0.6666666666666666,0.6740938799762329
24,2301071,2301,1.0071301247771836,0.16666666666666666,0.16785502079619724
25,2301072,2301,1.0057932263814617,0.3333333333333333,0.3352644087938206
26,2301073,2301,1.0120320855614975,0.5,0.5060160427807487
27,2301074,2301,1.004901960784314,0.5,0.502450980392157
28,2301075,2301,1.0151515151515151,0.6666666666666666,0.6767676767676767
29,2301086,2301,1.0129233511586453,0.16666666666666666,0.16882055852644087
30,2301087,2301,1.0120320855614975,-0.16666666666666666,-0.16867201426024958
31,2301092,2301,1.0062388591800357,0.6666666666666666,0.6708259061200238
32,2301093,2301,1.0084670231729056,0.16666666666666666,0.16807783719548425
33,2301094,2301,1.0071301247771836,0.5,0.5035650623885918
34,2301096,2301,1.017379679144385,0.3333333333333333,0.339126559714795
35,2301099,2301,1.0084670231729056,-0.3333333333333333,-0.3361556743909685
36,2301100,2301,1.0080213903743316,0.0,0.0
37,2301104,2301,1.0098039215686274,0.3333333333333333,0.33660130718954245
38,2301105,2301,1.0084670231729056,0.3333333333333333,0.3361556743909685
39,2301108,2301,1.0062388591800357,0.16666666666666666,0.16770647653000595
40,2301111,2301,1.0075757575757576,0.3333333333333333,0.33585858585858586
41,2301113,2301,1.0089126559714796,0.6666666666666666,0.6726084373143197
42,2301116,2301,1.0071301247771836,1.0,1.0071301247771836
43,2301122,2301,1.0080213903743316,0.3333333333333333,0.3360071301247772
44,2301124,2301,1.0066844919786095,1.0,1.0066844919786095
45,2301125,2301,1.0093582887700536,0.5,0.5046791443850268
46,2301126,2301,1.0089126559714796,1.0,1.0089126559714796
47,2301127,2301,1.0075757575757576,0.3333333333333333,0.33585858585858586
48,2301128,2301,1.0093582887700536,1.0,1.0093582887700536
49,2301129,2301,1.0089126559714796,1.0,1.0089126559714796
50,2301130,2301,1.0102495543672014,-0.16666666666666666,-0.1683749257278669
51,2301132,2301,1.004901960784314,0.0,0.0
52,2304001,2304,1.0115864527629235,1.0,1.0115864527629235
53,2304002,2304,1.0106951871657754,0.3333333333333333,0.33689839572192515
54,2304003,2304,1.0111408199643495,0.0,0.0
55,2304004,2304,1.0040106951871657,0.6666666666666666,0.6693404634581104
56,2304006,2304,1.0102495543672014,-0.16666666666666666,-0.1683749257278669
57,2304007,2304,1.0106951871657754,0.6666666666666666,0.6737967914438503
58,2304009,2304,1.0066844919786095,0.5,0.5033422459893048
59,2304010,2304,1.0102495543672014,0.3333333333333333,0.3367498514557338
60,2304011,2304,1.0111408199643495,0.8333333333333334,0.8426173499702913
61,2304014,2304,1.0093582887700536,0.8333333333333334,0.8411319073083781
62,2304015,2304,1.0080213903743316,0.3333333333333333,0.3360071301247772
63,2304020,2304,1.0124777183600713,0.16666666666666666,0.1687462863933452
64,2304021,2304,1.0147058823529413,0.3333333333333333,0.3382352941176471
65,2304022,2304,1.0164884135472372,0.5,0.5082442067736186
66,2304024,2304,1.0164884135472372,-0.3333333333333333,-0.33882947118241236
67,2304025,2304,1.0155971479500892,0.5,0.5077985739750446
68,2304026,2304,1.0071301247771836,0.8333333333333334,0.8392751039809864
69,2304027,2304,1.0106951871657754,0.6666666666666666,0.6737967914438503
70,2304028,2304,1.0124777183600713,0.0,0.0
71,2304029,2304,1.0111408199643495,0.6666666666666666,0.6740938799762329
72,2304030,2304,1.0106951871657754,0.0,0.0
73,2304031,2304,1.016934046345811,0.5,0.5084670231729055
74,2304032,2304,1.017379679144385,0.5,0.5086898395721925
75,2304033,2304,1.0106951871657754,0.5,0.5053475935828877
76,2304034,2304,1.0111408199643495,0.6666666666666666,0.6740938799762329
77,2304035,2304,1.0111408199643495,0.6666666666666666,0.6740938799762329
78,2304036,2304,1.0075757575757576,0.5,0.5037878787878788
79,2304037,2304,1.0102495543672014,0.8333333333333334,0.8418746286393346
80,2304038,2304,1.0071301247771836,0.5,0.5035650623885918
81,2304039,2304,1.0111408199643495,0.8333333333333334,0.8426173499702913
82,2304040,2304,1.0080213903743316,-0.16666666666666666,-0.1680035650623886
83,2304041,2304,1.0057932263814617,0.6666666666666666,0.6705288175876412
84,2304043,2304,1.0089126559714796,0.16666666666666666,0.16815210932857994
85,2304044,2304,1.0057932263814617,0.16666666666666666,0.1676322043969103
86,2304045,2304,1.0164884135472372,0.3333333333333333,0.33882947118241236
87,2304046,2304,1.0111408199643495,0.3333333333333333,0.33704693998811647
88,2304049,2304,1.0115864527629235,1.0,1.0115864527629235
89,2304050,2304,1.0160427807486632,0.6666666666666666,0.6773618538324421
90,2304051,2304,1.0106951871657754,0.6666666666666666,0.6737967914438503
91,2304052,2304,1.0102495543672014,1.0,1.0102495543672014
92,2304053,2304,1.0111408199643495,1.0,1.0111408199643495
93,2304055,2304,1.0093582887700536,0.6666666666666666,0.6729055258467024
94,2304056,2304,1.0084670231729056,0.5,0.5042335115864528
95,2304059,2304,1.0102495543672014,1.0,1.0102495543672014
96,2304064,2304,1.0106951871657754,0.6666666666666666,0.6737967914438503
97,2304065,2304,1.0071301247771836,-0.5,-0.5035650623885918
98,2304070,2304,1.0084670231729056,0.0,0.0
99,2304071,2304,1.0071301247771836,0.8333333333333334,0.8392751039809864
100,2304072,2304,1.0106951871657754,-0.3333333333333333,-0.33689839572192515
101,2304075,2304,1.0093582887700536,0.3333333333333333,0.3364527629233512
102,2304076,2304,1.0071301247771836,0.0,0.0
103,2304083,2304,1.0075757575757576,0.5,0.5037878787878788
104,2304084,2304,1.0093582887700536,0.8333333333333334,0.8411319073083781
105,2304085,2304,1.0066844919786095,0.16666666666666666,0.16778074866310158
106,2304086,2304,1.017379679144385,0.3333333333333333,0.339126559714795
107,2304087,2304,1.0089126559714796,-0.3333333333333333,-0.33630421865715987
108,2304089,2304,1.0035650623885919,1.0,1.0035650623885919
109,2304090,2304,1.0084670231729056,0.8333333333333334,0.8403891859774214
110,2304091,2304,1.0062388591800357,-0.6666666666666666,-0.6708259061200238
111,2304092,2304,1.0151515151515151,0.16666666666666666,0.16919191919191917
112,2304094,2304,1.0151515151515151,0.3333333333333333,0.33838383838383834
113,2304098,2304,1.014260249554367,0.3333333333333333,0.3380867498514557
114,2304103,2304,1.0080213903743316,0.6666666666666666,0.6720142602495544
115,2304105,2304,1.0111408199643495,0.16666666666666666,0.16852346999405823
116,2304110,2304,1.0089126559714796,1.0,1.0089126559714796
117,2304111,2304,1.0053475935828877,-0.3333333333333333,-0.3351158645276292
118,2304112,2304,1.0160427807486632,0.16666666666666666,0.16934046345811052
119,2304118,2304,1.0057932263814617,0.3333333333333333,0.3352644087938206
120,2304119,2304,1.0071301247771836,0.8333333333333334,0.8392751039809864
121,2304121,2304,1.0066844919786095,0.6666666666666666,0.6711229946524063
122,2304122,2304,1.0089126559714796,0.8333333333333334,0.8407605466428997
123,2304123,2304,1.0080213903743316,0.8333333333333334,0.840017825311943
124,2304124,2304,1.0106951871657754,1.0,1.0106951871657754
125,2304126,2304,1.0084670231729056,0.5,0.5042335115864528
126,2304130,2304,1.0102495543672014,0.16666666666666666,0.1683749257278669
127,2304131,2304,1.004901960784314,0.5,0.502450980392157
128,2304132,2304,1.0053475935828877,1.0,1.0053475935828877
129,2304133,2304,1.0080213903743316,0.6666666666666666,0.6720142602495544
130,2304134,2304,1.0164884135472372,0.0,0.0
131,2304135,2304,1.0111408199643495,1.0,1.0111408199643495
132,2304136,2304,1.0111408199643495,0.6666666666666666,0.6740938799762329
133,2304139,2304,1.0209447415329769,1.0,1.0209447415329769
134,2304140,2304,1.0084670231729056,0.8333333333333334,0.8403891859774214
135,2304141,2304,1.0080213903743316,0.8333333333333334,0.840017825311943
136,2304146,2304,1.0147058823529413,-0.3333333333333333,-0.3382352941176471
137,2304147,2304,1.0102495543672014,0.3333333333333333,0.3367498514557338
138,2304148,2304,1.0093582887700536,1.0,1.0093582887700536
139,2304149,2304,1.0147058823529413,0.3333333333333333,0.3382352941176471
140,2304150,2304,1.0080213903743316,0.0,0.0
141,2304151,2304,1.0106951871657754,1.0,1.0106951871657754
142,2304152,2304,1.0075757575757576,0.0,0.0
143,2304154,2304,1.0106951871657754,0.8333333333333334,0.8422459893048129
144,2304155,2304,1.0106951871657754,0.6666666666666666,0.6737967914438503
145,2304157,2304,1.0111408199643495,0.3333333333333333,0.33704693998811647
146,2304158,2304,1.0084670231729056,0.6666666666666666,0.672311348781937
147,2304163,2304,1.0084670231729056,0.6666666666666666,0.672311348781937
148,2304162,2304,1.0106951871657754,0.8333333333333334,0.8422459893048129
149,2304164,2304,1.0106951871657754,0.5,0.5053475935828877
150,2304166,2304,1.0080213903743316,0.3333333333333333,0.3360071301247772
151,2304167,2304,1.0102495543672014,0.6666666666666666,0.6734997029114675
152,2304170,2304,1.0089126559714796,-0.16666666666666666,-0.16815210932857994
153,2304173,2304,1.0080213903743316,0.6666666666666666,0.6720142602495544
154,2304174,2304,1.0026737967914439,0.5,0.5013368983957219
155,2304175,2304,1.0115864527629235,0.16666666666666666,0.1685977421271539
156,2304176,2304,1.0080213903743316,0.3333333333333333,0.3360071301247772
157,2304177,2304,1.0098039215686274,0.8333333333333334,0.8415032679738562
158,2309002,2309,1.0133689839572193,0.5,0.5066844919786097
159,2309004,2309,1.0062388591800357,0.16666666666666666,0.16770647653000595
160,2309014,2309,1.0124777183600713,1.0,1.0124777183600713
161,2309016,2309,1.0133689839572193,0.8333333333333334,0.8444741532976828
162,2309021,2309,1.0129233511586453,0.5,0.5064616755793226
163,2309022,2309,1.0120320855614975,0.6666666666666666,0.6746880570409983
164,2309029,2309,1.0129233511586453,0.3333333333333333,0.33764111705288175
165,2309030,2309,1.0133689839572193,0.16666666666666666,0.16889483065953653
166,2309032,2309,1.0093582887700536,0.5,0.5046791443850268
167,2309033,2309,1.0093582887700536,0.16666666666666666,0.1682263814616756
168,2309036,2309,1.0111408199643495,0.5,0.5055704099821747
169,2309037,2309,1.0124777183600713,0.3333333333333333,0.3374925727866904
170,2309039,2309,1.0129233511586453,0.8333333333333334,0.8441027926322044
171,2309041,2309,1.0115864527629235,0.6666666666666666,0.6743909685086156
172,2309042,2309,1.013814616755793,0.8333333333333334,0.844845513963161
173,2309045,2309,1.0115864527629235,0.8333333333333334,0.8429887106357696
174,2309053,2309,1.0129233511586453,0.6666666666666666,0.6752822341057635
175,2309054,2309,1.0133689839572193,1.0,1.0133689839572193
176,2309055,2309,1.0155971479500892,0.5,0.5077985739750446
177,2309056,2309,1.013814616755793,1.0,1.013814616755793
178,2309057,2309,1.0124777183600713,1.0,1.0124777183600713
179,2309059,2309,1.022281639928699,0.16666666666666666,0.1703802733214498
180,2309067,2309,1.0089126559714796,0.8333333333333334,0.8407605466428997
181,2309068,2309,1.022281639928699,-0.16666666666666666,-0.1703802733214498
182,2309070,2309,1.0254010695187166,0.8333333333333334,0.8545008912655971
183,2309071,2309,1.0129233511586453,0.0,0.0
184,2309074,2309,1.0102495543672014,0.16666666666666666,0.1683749257278669
185,2309075,2309,1.0106951871657754,0.5,0.5053475935828877
186,2309079,2309,1.0102495543672014,0.6666666666666666,0.6734997029114675
187,2309080,2309,1.0129233511586453,0.3333333333333333,0.33764111705288175
188,2309081,2309,1.0120320855614975,0.6666666666666666,0.6746880570409983
189,2309082,2309,1.0120320855614975,-0.8333333333333334,-0.8433600713012479
190,2309083,2309,1.0124777183600713,0.5,0.5062388591800356
191,2309084,2309,1.0129233511586453,0.5,0.5064616755793226
192,2309085,2309,1.0106951871657754,0.3333333333333333,0.33689839572192515
193,2309086,2309,1.013814616755793,0.5,0.5069073083778965
194,2309087,2309,1.0102495543672014,0.16666666666666666,0.1683749257278669
195,2309088,2309,1.0071301247771836,-0.6666666666666666,-0.671420083184789
196,2309089,2309,1.0093582887700536,0.16666666666666666,0.1682263814616756
197,2309092,2309,1.0102495543672014,0.16666666666666666,0.1683749257278669
198,2309093,2309,1.0129233511586453,0.6666666666666666,0.6752822341057635
199,2309094,2309,1.0093582887700536,0.5,0.5046791443850268
200,2309097,2309,1.0151515151515151,0.5,0.5075757575757576
201,2309098,2309,1.0084670231729056,0.16666666666666666,0.16807783719548425
202,2309100,2309,1.00445632798574,0.6666666666666666,0.6696375519904932
203,2309101,2309,1.0155971479500892,0.5,0.5077985739750446
204,2309102,2309,1.0075757575757576,0.5,0.5037878787878788
205,2309127,2309,1.0089126559714796,1.0,1.0089126559714796
206,2309128,2309,1.0102495543672014,0.6666666666666666,0.6734997029114675
207,2309133,2309,1.017379679144385,-0.3333333333333333,-0.339126559714795
208,2309134,2309,1.0129233511586453,-0.6666666666666666,-0.6752822341057635
209,2309139,2309,1.0102495543672014,0.3333333333333333,0.3367498514557338
210,2309140,2309,1.0133689839572193,0.8333333333333334,0.8444741532976828
211,2309141,2309,1.0075757575757576,-0.3333333333333333,-0.33585858585858586
212,2309147,2309,1.0129233511586453,0.6666666666666666,0.6752822341057635
213,2309150,2309,1.0178253119429592,0.16666666666666666,0.16963755199049319
214,2309151,2309,1.0102495543672014,0.3333333333333333,0.3367498514557338
215,2309152,2309,1.0236185383244207,0.5,0.5118092691622104
216,2309154,2309,1.021836007130125,0.5,0.5109180035650625
217,2309155,2309,1.0106951871657754,0.16666666666666666,0.16844919786096257
218,2309158,2309,1.0106951871657754,0.5,0.5053475935828877
219,2309159,2309,1.0062388591800357,0.3333333333333333,0.3354129530600119
220,2309160,2309,1.0084670231729056,1.0,1.0084670231729056
221,2309163,2309,1.0178253119429592,0.5,0.5089126559714796
222,2309165,2309,1.0178253119429592,0.8333333333333334,0.8481877599524661
223,2309170,2309,1.0133689839572193,-0.3333333333333333,-0.33778966131907306
224,2309171,2309,1.0102495543672014,0.3333333333333333,0.3367498514557338
225,2309174,2309,1.017379679144385,0.3333333333333333,0.339126559714795
226,2309183,2309,1.0115864527629235,0.16666666666666666,0.1685977421271539
227,2309184,2309,1.0160427807486632,0.16666666666666666,0.16934046345811052
228,2309185,2309,1.0115864527629235,0.3333333333333333,0.3371954842543078
229,2309187,2309,1.0115864527629235,0.6666666666666666,0.6743909685086156
230,2309189,2309,1.0115864527629235,0.16666666666666666,0.1685977421271539
231,2309191,2309,1.021836007130125,-0.16666666666666666,-0.17030600118835415
232,2309192,2309,1.0093582887700536,0.0,0.0
233,2309196,2309,1.0155971479500892,0.16666666666666666,0.16926619132501486
234,2309197,2309,1.0124777183600713,0.0,0.0
235,2309198,2309,1.0124777183600713,1.0,1.0124777183600713
236,2309199,2309,1.0120320855614975,1.0,1.0120320855614975
237,2309204,2309,1.0115864527629235,0.3333333333333333,0.3371954842543078
238,2309205,2309,1.0115864527629235,0.16666666666666666,0.1685977421271539
239,2309207,2309,1.0124777183600713,0.8333333333333334,0.8437314319667261
240,2309208,2309,1.0124777183600713,0.8333333333333334,0.8437314319667261
241,2309211,2309,1.0124777183600713,0.5,0.5062388591800356
242,2309212,2309,1.0129233511586453,0.5,0.5064616755793226
243,2309214,2309,1.0093582887700536,0.3333333333333333,0.3364527629233512
244,2309217,2309,1.0133689839572193,0.6666666666666666,0.6755793226381461
245,2309218,2309,1.017379679144385,0.6666666666666666,0.67825311942959
246,2309219,2309,1.0098039215686274,0.3333333333333333,0.33660130718954245
