HHID,IWTime,Age,Gender,M_Status,Class,Occupation,livedOutside,WhenMove,MoveHereYear,Caste
2301006,0:10,10,1,0,3,4,0,-1,-1,1
2301006,0:10,40,1,1,9,5,0,-1,2069-02,1
2301006,0:10,43,0,1,9,2,1,-1,-1,1
2301006,0:10,17,0,0,10,4,0,-1,-1,1
2301007,0:10,55,1,1,3,5,1,-1,2059-01,1
2301007,0:10,57,0,1,3,5,1,-1,2059-01,1
2301007,0:10,22,1,1,12,6,0,-1,2076-10,1
2301007,0:10,24,0,0,12,5,0,-1,2059-01,1
2301007,0:10,26,0,1,12,1,0,-1,2059-01,1
2301013,0:06,49,1,1,0,6,0,-1,-1,3
2301013,0:06,51,0,1,7,5,1,-1,-1,3
2301016,0:15,55,1,1,0,5,0,-1,-1,1
2301016,0:15,7,0,0,1,4,0,2072,2076-12,1
2301016,0:15,8,0,0,1,4,0,-1,2076-12,1
2301016,0:15,11,1,0,5,4,0,-1,2076-12,1
2301016,0:15,60,0,1,5,5,0,-1,2029,1
2301016,0:15,14,0,0,8,4,0,2069-01,2076-12,1
2301016,0:15,37,0,1,9,1,0,2069-01,-1,1
2301016,0:15,29,1,1,12,6,0,-1,2068-01,1
2301016,0:15,34,1,1,12,1,0,2069-01,2064-08,1
2301016,0:15,34,0,1,10,5,0,-1,-1,1
2301017,0:05,25,0,0,12,2,0,-1,-1,1
2301017,0:05,47,1,1,10,5,0,-1,2049-06,1
2301021,0:10,1,0,0,0,0,1,2078,0,1
2301021,0:10,51,1,1,5,5,0,-1,2062-11,1
2301021,0:10,27,1,1,12,6,1,2077-06,2071-03,1
2301021,0:10,65,0,1,10,5,0,-1,2018,1
2301021,0:10,6,1,0,NS,4,1,2077-06,-1,1
2301021,0:10,37,0,1,14,2,1,2069-11,-1,1
2301029,0:03,39,1,1,0,5,0,-1,2057-11,1
2301029,0:03,44,0,1,5,2,1,-1,-1,1
2301029,0:03,15,0,0,9,4,0,-1,-1,1
2301029,0:03,20,0,0,12,0,0,-1,-1,1
2301037,0:15,1,1,0,0,0,0,-1,-1,1
2301037,0:15,9,1,0,2,4,0,-1,-1,1
2301037,0:15,65,1,1,5,6,1,-1,2066-02,1
2301037,0:15,77,0,1,8,5,1,-1,2066-02,1
2301037,0:15,29,1,1,12,6,0,-1,2071-11,1
2301037,0:15,31,1,1,12,5,0,-1,2069-11,1
2301037,0:15,36,0,1,12,1,1,-1,2066-02,1
2301037,0:15,32,0,1,16,2,0,-1,2066-02,1
2301037,0:15,6,1,0,KG,4,0,-1,-1,1
2301037,0:15,5,0,0,NS,4,0,-1,-1,1
2301038,0:05,71,1,3,0,6,0,-1,2040-03,3
2301038,0:05,32,0,1,5,2,1,2075-03,-1,3
2301038,0:05,28,1,1,7,5,0,-1,2072- 3,3
2301038,0:05,5,0,0,NS,4,0,-1,-1,3
2301038,0:05,6,1,0,KG,4,0,-1,-1,3
2301041,0:05,50,1,1,3,5,0,-1,2051-05,2
2301041,0:05,60,0,1,6,5,1,-1,2051-05,2
2301041,0:05,30,0,1,10,2,0,-1,2051-05,2
2301041,0:05,30,1,1,10,6,1,2075-02,2070-04,2
2301041,0:05,5,1,0,KG,4,0,-1,-1,2
2301043,0:06,11,1,0,4,4,0,-1,-1,1
2301043,0:06,30,1,1,9,5,0,-1,2068-11,1
2301043,0:06,40,0,1,10,2,1,2078-08,-1,1
2301044,0:05,56,1,3,0,5,0,-1,2030-02,1
2301044,0:05,14,0,0,7,4,0,-1,2073-02,1
2301044,0:05,28,0,1,12,2,1,2070-02,2073-02,1
2301044,0:05,23,1,1,14,6,0,-1,2074-06,1
2301046,0:10,1,0,0,0,0,0,-1,-1,1
2301046,0:10,66,0,3,0,5,0,-1,2036-04,1
2301046,0:10,18,1,0,12,5,0,-1,-1,1
2301046,0:10,26,1,1,12,6,0,-1,2072-08,1
2301046,0:10,27,0,0,12,2,1,2074-05,-1,1
2301046,0:10,31,0,1,10,2,1,2079-01,-1,1
2301046,0:10,6,0,0,NS,4,0,-1,-1,1
2301047,0:07,38,1,3,3,5,0,-1,2064-01,2
2301047,0:07,12,1,0,6,4,0,-1,-1,2
2301047,0:07,20,0,0,12,4,0,-1,2064-01,2
2301047,0:07,18,0,0,10,4,0,-1,2064-01,2
2301048,0:08,45,1,1,0,5,0,-1,2070-01,2
2301048,0:08,46,0,1,5,2,1,2076-11,2070-01,2
2301048,0:08,14,1,0,7,4,0,-1,2070-01,2
2301048,0:08,22,1,0,10,4,0,-1,2070-01,2
2301053,0:10,50,1,1,0,5,0,-1,2034-01,3
2301053,0:10,57,0,1,4,3,0,-1,-1,3
2301053,0:10,31,0,1,5,0,1,-1,-1,3
2301053,0:10,27,1,1,10,6,0,-1,2078-06,3
2301056,0:05,50,1,1,0,5,0,-1,2046-11,3
2301056,0:05,51,0,1,0,3,1,-1,-1,3
2301056,0:05,24,0,0,10,5,1,-1,-1,3
2301057,0:07,2,0,0,0,0,0,-1,-1,3
2301057,0:07,60,1,3,0,5,0,-1,-1,3
2301057,0:07,23,0,0,5,2,0,2072-01,-1,3
2301057,0:07,22,1,1,7,5,0,-1,2073-11,3
2301057,0:07,34,0,1,7,2,1,2078-09,-1,3
2301058,0:05,38,1,1,7,5,0,-1,2056-02,3
2301058,0:05,45,0,1,8,3,1,-1,-1,3
2301058,0:05,16,1,0,9,4,0,-1,-1,3
2301058,0:05,21,0,0,12,2,1,2078-08,-1,3
2301059,0:05,54,0,1,2,5,0,-1,-1,3
2301059,0:05,45,1,1,9,5,0,-1,2053-05,3
2301059,0:05,19,0,0,10,5,0,-1,-1,3
2301059,0:05,24,0,0,10,2,1,2076-10,-1,3
2301060,0:07,14,1,0,7,4,0,-1,-1,3
2301060,0:07,39,1,1,7,5,0,-1,2055-01,3
2301060,0:07,18,0,0,10,4,0,-1,-1,3
2301060,0:07,42,0,1,10,2,1,2074-05,-1,3
2301068,0:04,1,1,0,0,0,0,-1,-1,2
2301068,0:04,7,1,0,1,4,0,-1,-1,2
2301068,0:04,30,1,1,9,5,0,-1,2079-08,2
2301068,0:04,38,0,1,10,5,1,2070-05,2058-09,2
2301069,0:06,52,1,1,0,5,0,-1,2041-11,1
2301069,0:06,60,0,1,9,0,0,-1,2024-05,1
2301069,0:06,20,0,0,10,2,0,-1,-1,1
2301070,0:11,1,1,0,0,0,0,-1,-1,2
2301070,0:11,62,1,1,0,5,0,-1,2072-01,2
2301070,0:11,70,0,1,7,5,1,-1,2072-01,2
2301070,0:11,26,0,0,12,2,1,2075-10,2072-01,2
2301070,0:11,28,1,1,10,5,1,-1,2072-01,2
2301070,0:11,32,0,1,10,2,1,2064-09,2072-01,2
2301070,0:11,6,0,0,NS,4,0,-1,2075-10,2
2301071,0:08,35,1,1,2,5,0,-1,2066-01,2
2301071,0:08,11,0,0,4,4,0,-1,-1,2
2301071,0:08,28,0,1,10,2,1,2075-09,2066-01,2
2301071,0:08,39,0,1,10,5,1,-1,2066-01,2
2301071,0:08,28,1,1,12,5,0,-1,2078-05,2
2301072,0:06,41,1,1,0,5,0,-1,2067-09,2
2301072,0:06,12,0,0,6,4,0,-1,2067-09,2
2301072,0:06,13,1,0,7,4,0,-1,2067-09,2
2301072,0:06,40,0,1,8,5,1,-1,2067-09,2
2301072,0:06,20,0,0,12,4,0,-1,2067-09,2
2301072,0:06,21,0,0,12,4,0,-1,2067-09,2
2301073,0:07,68,1,1,0,6,0,-1,2071-01,1
2301073,0:07,45,1,1,4,5,1,-1,2071-01,1
2301073,0:07,79,0,1,8,0,0,-1,2071-01,1
2301073,0:07,46,0,1,9,1,1,-1,2071-01,1
2301073,0:07,19,0,0,11,4,0,-1,2071-01,1
2301074,0:07,52,1,1,0,5,0,-1,2043-08,3
2301074,0:07,14,0,0,7,4,0,-1,-1,3
2301074,0:07,30,1,1,7,5,0,-1,2064-05,3
2301074,0:07,35,0,1,10,2,1,2077-08,-1,3
2301074,0:07,59,0,1,10,5,1,-1,2043-01,3
2301075,0:07,58,1,1,0,3,0,-1,2037-03,3
2301075,0:07,67,0,1,0,1,0,-1,2020-12,3
2301075,0:07,8,1,0,2,4,0,-1,-1,3
2301075,0:07,37,0,1,5,5,1,2071-05,-1,3
2301075,0:07,24,1,1,8,5,0,-1,2071-06,3
2301086,0:04,49,1,1,0,5,1,-1,2053-08,2
2301086,0:04,55,0,1,4,1,1,-1,-1,2
2301086,0:04,25,1,0,14,2,1,-1,-1,2
2301087,0:06,46,1,1,7,5,0,-1,2058-06,2
2301087,0:06,51,0,1,10,5,1,-1,2058-06,2
2301087,0:06,20,1,0,12,4,0,-1,-1,2
2301087,0:06,26,1,0,14,4,0,-1,-1,2
2301092,0:09,82,0,1,0,5,0,-1,2063-01,1
2301092,0:09,82,1,1,0,5,0,-1,2063-01,1
2301092,0:09,7,0,0,1,4,0,-1,-1,1
2301092,0:09,50,1,1,6,5,0,-1,2063-01,1
2301092,0:09,21,0,0,11,2,1,2078-01,2063-01,1
2301092,0:09,23,1,0,12,2,0,-1,2063-01,1
2301092,0:09,30,1,1,10,5,0,-1,2063-01,1
2301092,0:09,31,0,1,10,5,0,-1,2063-01,1
2301092,0:09,55,0,1,10,5,0,-1,2063-01,1
2301092,0:09,5,1,0,NS,4,0,-1,-1,1
2301093,0:05,71,1,1,0,5,0,-1,2057-02,1
2301093,0:05,75,0,1,10,5,0,-1,2057-02,1
2301093,0:05,33,1,1,12,5,0,-1,2070-08,1
2301093,0:05,43,0,1,12,5,0,-1,2057-02,1
2301093,0:05,7,0,0,KG,4,0,-1,-1,1
2301094,0:07,15,1,0,8,4,0,-1,-1,1
2301094,0:07,41,1,1,9,5,0,-1,2058-03,1
2301094,0:07,19,1,0,11,4,0,-1,-1,1
2301094,0:07,5,0,0,KG,4,0,-1,-1,1
2301094,0:07,45,0,1,10,5,0,-1,2057-03,1
2301096,0:06,70,1,3,0,0,0,-1,2014-09,1
2301096,0:06,7,1,0,1,4,0,-1,-1,1
2301096,0:06,27,1,1,9,5,0,-1,2072-03,1
2301096,0:06,30,0,1,9,2,1,2078-08,-1,1
2301096,0:06,5,1,0,NS,4,0,-1,-1,1
2301099,0:10,41,1,1,2,5,0,-1,-1,2
2301099,0:10,14,0,0,6,4,0,-1,-1,2
2301099,0:10,52,0,1,8,2,1,-1,2032-10,2
2301099,0:10,16,1,0,9,4,0,-1,-1,2
2301099,0:10,19,1,0,12,5,0,-1,-1,2
2301099,0:10,17,1,0,10,4,0,-1,-1,2
2301099,0:10,21,1,0,10,4,0,-1,-1,2
2301100,0:06,89,1,3,0,0,0,-1,2036-10,2
2301100,0:06,13,0,0,7,4,0,-1,-1,2
2301100,0:06,37,1,1,7,5,0,-1,2062-03,2
2301100,0:06,48,0,1,9,5,1,-1,2037-10,2
2301100,0:06,16,1,0,10,4,0,-1,-1,2
2301104,0:04,43,1,1,0,5,1,-1,2072-02,3
2301104,0:04,52,0,1,0,3,1,-1,2072-02,3
2301104,0:04,24,0,0,12,3,0,-1,2072- 02,3
2301105,0:05,40,1,1,4,5,0,-1,2061-02,2
2301105,0:05,10,0,0,5,4,0,-1,-1,2
2301105,0:05,12,1,0,6,4,0,-1,-1,2
2301105,0:05,52,0,1,10,5,1,-1,2061-02,2
2301105,0:05,18,1,0,11,4,0,-1,-1,2
2301108,0:06,50,1,2,0,5,0,-1,2049-01,2
2301108,0:06,18,0,0,9,4,0,-1,-1,2
2301111,0:05,11,0,0,4,4,0,-1,-1,1
2301111,0:05,12,0,0,5,4,0,-1,-1,1
2301111,0:05,31,1,1,7,5,0,-1,2066-06,1
2301111,0:05,36,0,1,11,2,1,2078-09,-1,1
2301113,0:15,1,0,0,0,0,0,-1,-1,2
2301113,0:15,60,1,1,0,5,0,-1,2036-01,2
2301113,0:15,69,0,1,0,5,0,-1,2035-08,2
2301113,0:15,6,1,0,1,4,0,-1,-1,2
2301113,0:15,33,1,1,1,6,0,-1,-1,2
2301113,0:15,9,1,0,3,4,0,-1,-1,2
2301113,0:15,31,0,1,4,2,0,-1,-1,2
2301113,0:15,15,0,0,9,4,0,-1,2064-04,1
2301113,0:15,26,0,0,10,2,0,-1,-1,2
2301113,0:15,30,0,0,12,0,1,-1,-1,2
2301113,0:15,4,1,0,NS,4,0,-1,-1,2
2301116,0:10,30,1,1,0,5,0,-1,2064-01,2
2301116,0:10,69,0,3,0,5,0,-1,2026-07,2
2301116,0:10,28,1,0,2,2,1,2069-02,-1,2
2301116,0:10,11,0,0,3,4,0,-1,-1,2
2301116,0:10,35,0,1,3,2,1,-1,-1,2
2301116,0:10,14,1,0,8,4,0,-1,-1,2
2301116,0:10,18,1,0,11,4,0,-1,-1,2
2301122,0:04,3,0,0,0,0,0,-1,-1,2
2301122,0:04,23,1,1,9,5,0,-1,-1,2
2301122,0:04,34,0,1,10,3,1,2078-09,-1,2
2301124,0:06,42,0,1,5,2,1,2075-04,-1,2
2301124,0:06,34,1,1,7,5,0,-1,2060-02,2
2301124,0:06,16,1,0,10,4,0,-1,-1,2
2301124,0:06,4,0,0,NS,4,0,-1,-1,2
2301125,0:07,47,1,1,4,5,1,-1,2057-01,1
2301125,0:07,22,0,0,12,0,0,-1,2057-01,1
2301125,0:07,28,1,0,12,5,1,-1,2057-01,1
2301125,0:07,25,1,0,10,2,1,2075-08,2057-01,1
2301126,0:07,4,0,0,1,4,0,-1,-1,2
2301126,0:07,85,0,1,4,0,0,-1,2035-01,2
2301126,0:07,44,0,1,8,5,1,-1,2035-01,2
2301126,0:07,16,0,0,9,4,0,-1,-1,2
2301126,0:07,29,1,1,10,2,1,2078-10,2070-11,2
2301127,0:07,14,1,0,8,4,0,-1,2077-01,1
2301127,0:07,43,1,1,9,5,0,-1,2077-01,1
2301127,0:07,54,0,1,11,5,0,-1,2077-01,1
2301127,0:07,25,0,0,14,2,0,-1,2077-01,1
2301128,0:06,40,0,1,2,3,0,-1,2061-06,3
2301128,0:06,9,1,0,3,4,0,-1,-1,3
2301128,0:06,45,1,1,6,5,0,-1,2061-06,3
2301128,0:06,14,1,0,8,4,0,-1,-1,3
2301128,0:06,18,1,0,11,4,0,-1,-1,3
2301129,0:13,43,1,1,0,5,0,2074-02,2064-02,1
2301129,0:13,52,0,1,4,5,0,-1,2064-02,1
2301129,0:13,23,0,1,5,3,0,-1,2064-02,1
2301129,0:13,18,0,0,6,3,0,-1,2064-02,1
2301129,0:13,17,0,0,9,4,0,2077-12,2064-02,1
2301129,0:13,19,1,1,10,6,0,-1,2077-08,1
2301130,0:06,9,1,0,3,4,0,-1,2072-06,1
2301130,0:06,29,1,1,10,5,0,-1,2072-06,1
2301130,0:06,39,0,1,10,2,0,2075-02,2072-06,1
2301130,0:06,3,0,0,PG,4,0,-1,-1,1
2301132,0:10,49,1,3,0,5,0,-1,2052-01,1
2301132,0:10,15,0,0,8,4,0,-1,-1,1
2301132,0:10,22,1,0,12,0,0,-1,-1,1
2301132,0:10,25,0,2,10,2,0,2072-06,-1,1
2304001,0:05,37,0,1,0,5,0,-1,-1,1
2304001,0:05,73,1,1,0,5,0,-1,2022-11,1
2304001,0:05,75,0,1,0,5,0,-1,2022-11,1
2304001,0:05,43,1,1,7,5,1,-1,-1,1
2304002,0:04,50,1,1,0,5,0,-1,2044-11,1
2304002,0:04,60,0,1,8,5,1,-1,-1,1
2304003,0:09,67,1,1,0,5,0,-1,2020-01,1
2304003,0:09,79,0,1,0,0,0,-1,2009-02,1
2304003,0:09,14,1,0,7,4,0,-1,-1,1
2304003,0:09,41,0,1,8,2,1,2078-08,-1,1
2304003,0:09,37,1,1,10,5,0,-1,2059-10,1
2304003,0:09,18,1,0,11,4,0,-1,-1,1
2304004,0:04,47,1,1,8,5,0,-1,2049-03,1
2304004,0:04,53,0,1,8,5,1,-1,-1,1
2304006,0:09,75,1,1,0,0,0,-1,2011-01,3
2304006,0:09,82,0,1,0,0,0,-1,2011-01,3
2304006,0:09,10,1,0,3,4,0,-1,2070-10,3
2304006,0:09,31,1,1,5,5,1,-1,2070-10,3
2304006,0:09,14,1,0,7,4,0,-1,2070-10,3
2304006,0:09,34,0,1,7,2,1,2059-05,2070-10,3
2304006,0:09,5,0,0,NS,4,0,-1,-1,3
2304007,0:07,64,1,3,0,0,0,-1,2020-01,1
2304007,0:07,89,1,3,0,0,0,-1,2020-01,1
2304007,0:07,14,0,0,7,4,0,-1,-1,1
2304007,0:07,40,0,1,8,5,1,-1,-1,1
2304007,0:07,38,1,1,10,5,0,-1,2058-11,1
2304007,0:07,19,0,0,12,4,0,-1,-1,1
2304009,0:06,65,1,1,0,5,0,-1,2037-10,1
2304009,0:06,70,0,1,0,5,0,-1,2030-06,1
2304009,0:06,27,1,1,10,6,0,-1,2072-02,1
2304009,0:06,35,0,1,12,2,0,-1,-1,1
2304009,0:06,6,0,0,NS,4,0,-1,-1,1
2304010,0:10,56,1,1,0,5,0,-1,2048-11,4
2304010,0:10,57,0,1,6,5,0,-1,-1,4
2304010,0:10,21,0,0,12,4,0,-1,-1,4
2304010,0:10,23,1,0,12,4,0,-1,-1,4
2304010,0:10,27,1,0,12,4,0,-1,-1,4
2304010,0:10,30,1,0,14,4,0,-1,-1,4
2304011,0:09,2,0,0,0,0,0,-1,-1,1
2304011,0:09,64,1,1,0,5,0,-1,2023-06,1
2304011,0:09,66,0,1,0,5,0,-1,2030-11,1
2304011,0:09,9,1,0,1,4,0,-1,-1,1
2304011,0:09,13,1,0,7,4,0,-1,2067-05,1
2304011,0:09,36,1,1,12,2,0,-1,2069-03,1
2304011,0:09,40,0,1,12,2,0,-1,-1,1
2304014,0:07,55,1,1,8,5,0,-1,2043-10,1
2304014,0:07,31,0,0,12,2,1,2074-05,-1,1
2304014,0:07,59,0,1,12,5,0,-1,-1,1
2304014,0:07,33,0,1,14,2,0,2068-05,-1,1
2304014,0:07,30,1,1,16,2,0,2078-01,2077-08,1
2304015,0:07,65,1,3,0,5,0,-1,2030-11,1
2304015,0:07,12,0,0,6,4,0,-1,-1,1
2304015,0:07,17,1,0,12,4,0,-1,-1,1
2304015,0:07,38,1,1,10,5,0,-1,2059-11,1
2304015,0:07,42,0,1,10,2,1,2066-09,-1,1
2304020,0:10,61,1,1,0,5,0,-1,2038-02,3
2304020,0:10,65,0,1,0,5,0,-1,2019,3
2304020,0:10,31,0,2,6,2,0,-1,-1,3
2304020,0:10,6,0,0,NS,4,0,-1,-1,3
2304021,0:05,38,0,1,3,2,1,2075-04,-1,3
2304021,0:05,11,1,0,6,4,0,-1,-1,3
2304021,0:05,37,1,1,6,5,0,-1,-1,3
2304021,0:05,13,0,0,7,4,0,-1,-1,3
2304021,0:05,18,0,0,9,4,0,-1,-1,3
2304022,0:06,4,0,0,0,0,0,-1,-1,3
2304022,0:06,43,1,1,0,5,0,-1,2049-04,3
2304022,0:06,50,0,1,0,5,1,-1,-1,3
2304022,0:06,20,0,0,10,4,0,-1,-1,3
2304024,0:05,36,0,1,7,2,1,-1,-1,5
2304024,0:05,35,1,1,8,5,0,-1,2065-01,5
2304025,0:03,1,1,0,0,0,0,-1,-1,5
2304025,0:03,28,1,1,10,6,0,-1,2072-05,5
2304025,0:03,30,0,1,10,5,1,-1,-1,5
2304025,0:03,7,1,0,KG,4,0,-1,-1,5
2304026,0:07,40,0,1,0,3,0,-1,2045-02,5
2304026,0:07,36,1,1,6,5,0,-1,2058-03,5
2304026,0:07,18,0,0,7,3,0,-1,-1,5
2304027,0:07,12,0,0,5,4,0,-1,-1,1
2304027,0:07,15,0,0,8,4,0,-1,-1,1
2304027,0:07,33,1,1,9,5,0,-1,2063-03,1
2304027,0:07,39,0,1,9,2,1,-1,-1,1
2304028,0:06,39,1,1,4,5,0,-1,2060-11,1
2304028,0:06,15,0,0,8,4,0,-1,-1,1
2304028,0:06,17,0,0,9,4,0,-1,-1,1
2304028,0:06,44,0,1,10,1,1,-1,-1,1
2304029,0:04,7,1,0,1,4,0,-1,-1,1
2304029,0:04,10,1,0,5,4,0,-1,-1,1
2304029,0:04,30,1,1,10,5,0,-1,2059-02,1
2304029,0:04,32,0,1,10,1,0,-1,-1,1
2304030,0:10,40,1,1,6,6,0,-1,2048-10,1
2304030,0:10,49,0,1,7,5,0,-1,-1,1
2304030,0:10,26,0,0,12,2,0,-1,-1,1
2304031,0:05,2,1,0,0,0,0,-1,-1,5
2304031,0:05,29,1,1,3,5,0,-1,2076-11,5
2304031,0:05,29,0,1,7,2,0,-1,-1,5
2304032,0:06,38,0,3,0,2,0,-1,-1,5
2304032,0:06,15,1,0,8,4,0,-1,-1,5
2304032,0:06,19,0,0,10,2,0,-1,-1,5
2304033,0:08,58,1,1,0,5,0,-1,2035-11,1
2304033,0:08,72,0,1,0,5,0,-1,2017-10,1
2304033,0:08,31,0,1,16,2,0,-1,-1,1
2304033,0:08,27,0,0,10,2,1,2078-05,-1,1
2304033,0:08,29,0,0,14,2,0,-1,-1,1
2304034,0:04,55,1,1,7,5,1,-1,2048-02,1
2304034,0:04,58,0,1,10,5,1,-1,2048-02,1
2304034,0:04,18,0,0,11,4,0,-1,-1,1
2304034,0:04,28,0,0,14,4,1,2073-01,-1,1
2304035,0:06,48,1,1,4,5,0,-1,2047-11,1
2304035,0:06,50,0,1,9,5,0,-1,2046-10,1
2304035,0:06,27,0,0,14,4,0,-1,-1,1
2304035,0:06,28,0,0,14,4,0,-1,-1,1
2304036,0:04,47,1,3,0,5,0,-1,2046-01,1
2304036,0:04,22,1,1,10,5,0,-1,2073-06,1
2304036,0:04,26,0,1,12,5,0,-1,-1,1
2304036,0:04,4,1,0,NS,4,0,-1,-1,1
2304037,0:05,45,1,1,7,5,0,-1,-1,1
2304037,0:05,48,0,1,10,5,1,-1,-1,1
2304037,0:05,21,0,0,12,4,0,-1,-1,1
2304037,0:05,25,0,0,12,4,0,-1,-1,1
2304038,0:08,62,0,1,3,1,0,-1,2022-11,1
2304038,0:08,57,1,1,8,5,0,-1,2041-08,1
2304039,0:07,60,1,3,0,5,0,-1,2020-02,1
2304039,0:07,9,0,0,4,4,0,-1,-1,1
2304039,0:07,13,0,0,7,4,0,-1,-1,1
2304039,0:07,41,0,1,9,1,1,-1,-1,1
2304039,0:07,40,1,1,10,6,0,-1,2064-10,1
2304040,0:08,60,1,1,5,6,0,-1,2032-01,1
2304040,0:08,62,0,1,12,5,0,-1,2018-02,1
2304040,0:08,26,1,1,14,2,0,-1,2076-11,1
2304040,0:08,32,0,1,14,2,0,-1,-1,1
2304041,0:07,64,1,1,0,5,0,-1,2066-12,1
2304041,0:07,73,0,1,5,5,1,-1,2066-12,1
2304041,0:07,31,0,1,11,2,1,2075-10,2066-12,1
2304041,0:07,31,1,1,11,2,1,2077-09,2071-06,1
2304041,0:07,26,0,0,12,2,1,2076-10,2066-12,1
2304043,0:09,12,0,0,5,4,0,-1,-1,1
