Climate Change affect Nepali Farmers’ Livelihood Choices  2022,,,,,,
Census,,,,,,
,,,,,,
Data Description,,,,,,
Data Set Name:,Climate change Census,,,,,
Number of observations:,500,,,,,
Number of variables:,18,,,,,
Unique identifier:,HHID,,,,,
Data format:,Spss,,,,,
Data collection:,2022,,,,,
HHID,Household Id,"(00 ward, 00 Subward,000 HH ID)",,,,
,,,,,,
,2301006-2611119,ID ,,,,
,,,,,,
IWTime,Interview time,,Note: Interview time of only census,,,
,,,,,,
,2-25,Minutes,,,2389,100.00%
,,,,Total,2389,100.00%
SN,HH member's serial number,,,,,
,,,,,,
,1-14,Serial Number,,,2389,100.00%
,,,,Total,2389,100.00%
Age,Age,,,,,
,,,,,,
,1-99,Year,,,2389,100.00%
,,,,Total,2389,100.00%
Gender,Sex,,,,,
,,,,,,
,0,Male,,,1216,50.90%
,1,Female,,,1173,49.10%
,2,Others,,,0,0.00%
,,,,Total,2389,100.00%
M_Status,Marital status,,,,,
,,,,,,
,0,Unmarried,,,935,39.14%
,1,Married,,,1339,56.05%
,2,Divorce,,,13,0.54%
,3,Widow,,,102,4.27%
,,,,Total,2389,100.00%
Class,Highest  grade of schooling,,,,,
,,,,,,
,0,Non formal education,,,506,21.18%
,1,1 Class,,,42,1.76%
,2,2 Class,,,49,2.05%
,3,3 Class,,,87,3.64%
,4,4 Class,,,92,3.85%
,5,5 Class,,,138,5.78%
,6,6 Class,,,101,4.23%
,7,7 Class,,,158,6.61%
,8,8 Class,,,170,7.12%
,9,9 Class,,,158,6.61%
,10,10 Class,,,353,14.78%
,11,SLC or 11 class pass,,,51,2.13%
,12,Intermediate,,,286,11.97%
,14,Bachelor or equivalent,,,67,2.80%
,16,Masters or equivalent,,,17,0.71%
,18,PHD or equivalent,,,0,0.00%
,KG,Kindergarten,,,35,1.47%
,NS,Nursery,,,66,2.76%
,PG,Play Group,,,13,0.54%
,,,,Total,2389,100.00%
S_Name,Currently going schooling (School code),,,,,
,,,,,,
,0,Non schooling,,,1725,72.21%
,PII,School Name (Personal identify information ),,,664,27.79%
,,,,Total,2389,100.00%
Occupation,Type of occupation,,,,,
,,,,,,
,0,No occupation,,,210,8.79%
,1,Business,,,78,3.26%
,2,Salary job,,,332,13.90%
,3,Wage labor,,,110,4.60%
,4,Student,,,661,27.67%
,5,Farmer,,,881,36.88%
,6,Housewife,,,117,4.90%
,,,,Total,2389,100.00%
livedOutside,Has this person ever lived outside Nepal for 6 months or more? (Yes/No),,,,,
,,,,,,
,0,No,,,1877,78.57%
,1,Yes,,,512,21.43%
,,,,Total,2389,100.00%
Address,Where he/she lived most of the time past 12 month (Place code),,,,,
,,,,,,
,0,Neighbourhood,,,2092,87.57%
,F091-F974,Out of Nepal,,,192,8.04%
,N01-N99,In Nepal,,,105,4.40%
,,,,Total,2389,100.00%
WhenMove,"If not currently in Chitwan, when did he/she move?",,,,,
,,,,,,
,-1,Inappropriate,,,2132,89.24%
,2015-2079,Year (in A.D.),,,257,10.76%
,,,,Total,2389,100.00%
BirthPlace,Place of Birth (Place Code),,,,,
,,,,,,
,0,NBH,,,1325,55.46%
,F091-F974,Out of Nepal,,,49,2.05%
,N01-N99,In Nepal,,,656,27.46%
,N56,In Chitwan,,,359,15.03%
,,,,Total,2389,100.00%
MoveHereYear,"If not born in this village, in which year did you move here?",,,,,
,,,,,,
,-1,Inappropriate,,,1325,55.46%
,0,Not move ,,,7,0.29%
,2018-2079,Year (in A.D.),,,1057,44.24%
,,,,Total,2389,100.00%
Caste,Which caste do members of your household identify with?,,,,,
,,,,,,
,1,Brahamin/chetri,,,865,36.21%
,2,Gurung Magar Tamang,,,308,12.89%
,3,Dalit,,,338,14.15%
,4,Newar,,,39,1.63%
,5,Tharu Darai Kumal,,,757,31.69%
,6,Others,,,82,3.43%
,,,,Total,2389,100.00%
,,,,,,
Appendix 1: District and country Codes,,,,,,
,[1-151],Neighborhood ID (within Chitwan District),,,,
,District Code ,,,,,
,N56,CHITWAN,,,,
,N01,KATHMANDU,,,,
,N02,LALITPUR,,,,
,N03,BHAKTAPUR,,,,
,N07,RASUWA,,,,
,N08,NUWAKOT,,,,
,N09,PANCHTHAR,,,,
,N10,DHADING,,,,
,N11,KAVREPALNCHOWK,,,,
,N12,SINDHUPALCHOWK,,,,
,N13,DOLPA,,,,
,N14,HUMLA,,,,
,N15,MUGU,,,,
,N19,MUSTANG,,,,
,N21,MORANG,,,,
,N22,TERHATHUM,,,,
,N23,JHAPA,,,,
,N24,TAPLEJUNG,,,,
,N25,SUNSARI,,,,
,N26,DHANKUTA,,,,
,N27,ILLAM,,,,
,N29,BHOJPUR,,,,
,N30,SANKHUWASABHA,,,,
,N31,SAPTARI,,,,
,N33,SIRAHA,,,,
,N35,UDAYAPUR,,,,
,N36,KHOTANG,,,,
,N37,OKHALDHUNGA,,,,
,N38,SOLUKHUMBU,,,,
,N41,DHANUSA,,,,
,N44,MAHOTTARI,,,,
,N46,SARLAHI,,,,
,N47,SINDHULI,,,,
,N48,RAMECHHAP,,,,
,N49,DOLAKHA,,,,
,N51,PARSA,,,,
,N53,BARA,,,,
,N55,RAUTAHAT,,,,
,N57,MAKWANPUR,,,,
,N61,KASKI,,,,
,N62,LAMJUNG,,,,
,N63,SYANJA,,,,
,N64,GORKHA,,,,
,N65,TANAHU,,,,
,N66,MANANG,,,,
,N67,PARBAT,,,,
,N68,BAGLUNG,,,,
,N69,MYAGDI,,,,
,N71,RUPANDEHI,,,,
,N72,DAILEKH,,,,
,N75,PALPA,,,,
,N76,KAPILBASTU,,,,
,N77,AGRGHAKANCHI,,,,
,N78,NAWALPARASI,,,,
,N79,GULMI,,,,
,N80,KALIKOT,,,,
,N81,BANKE,,,,
,N82,DANG,,,,
,N83,SURKHET,,,,
,N84,BARDIYA,,,,
,N85,ROLPA,,,,
,N86,PYUTHAN,,,,
,N87,JUMLA,,,,
,N88,RUKUM,,,,
,N89,JAJARKOT,,,,
,N90,SALYAN,,,,
,N91,KAILALI,,,,
,N92,BAJHANG,,,,
,N93,DARCHULA,,,,
,N94,DOTI,,,,
,N95,BAITADI,,,,
,N96,DADELDHURA,,,,
,N97,ACHHAM,,,,
,N98,BAJURA,,,,
,N99,KANCHANPUR,,,,
,Country Code ,,,,,
,F093,Afghanistan,,,,
,F355,Albania,,,,
,F213,Algeria,,,,
,F684,American Samoa,,,,
,F376,Andorra,,,,
,F244,Angola,,,,
,F054,Argentina,,,,
,F374,Armenia,,,,
,F297,Aruba,,,,
,F247,Ascension,,,,
,F061,Australia,,,,
,F672,Australian Ext. Terr.,,,,
,F043,Austria,,,,
,F994,Azerbaijan,,,,
,F973,Bahrain,,,,
,F880,Bangladesh,,,,
,F375,Belarus,,,,
,F032,Belgium,,,,
,F501,Belize,,,,
,F229,Benin,,,,
,F975,Bhutan,,,,
,F591,Bolivia,,,,
,F387,Bosnia - Herzegovina,,,,
,F267,Botswana,,,,
,F055,Brazil,,,,
,F673,Brunei Darussalam,,,,
,F359,Bulgaria,,,,
,F226,Burkina Faso,,,,
,F257,Burundi,,,,
,F855,Cambodia,,,,
,F237,Cameroon,,,,
,F005,Canada,,,,
,F238,Cape Verde,,,,
,F237,Cameroon,,,,
,F005,Canada,,,,
,F238,Cape Verde,,,,
,F236,Central African Rep.,,,,
,F235,Chad,,,,
,F056,Chile,,,,
,F086,China,,,,
,F504,Honduras,,,,
,F852,Hong Kong,,,,
,F036,Hungary,,,,
,F354,Iceland,,,,
,F091,India,,,,
,F062,Indonesia,,,,
,F871,Inmarsat (Atl-East),,,,
,F874,Inmarsat (Atl-West),,,,
,F873,Inmarsat (Indian O.),,,,
,F872,Inmarsat (Pacific),,,,
,F870,Inmarsat SNAC,,,,
,F098,Iran,,,,
,F964,Iraq,,,,
,F353,Ireland,,,,
,F972,Israel,,,,
,F039,Italy,,,,
,F225,Ivory Coast,,,,
,F081,Japan,,,,
,F962,Jordan,,,,
,F997,Kazakhstan,,,,
,F254,Kenya,,,,
,F686,Kiribati,,,,
,F965,Kuwait,,,,
,F996,Kyrgyz Republic,,,,
,F856,Laos,,,,
,F371,Latvia,,,,
,F961,Lebanon,,,,
,F856,Laos,,,,
,F371,Latvia,,,,
,F961,Lebanon,,,,
,F266,Lesotho,,,,
,F231,Liberia,,,,
,F218,Libya,,,,
,F423,Liechtenstein,,,,
,F370,Lithuania,,,,
,F352,Luxembourg,,,,
,F853,Macau,,,,
,F389,Macedonia,,,,
,F261,Madagascar,,,,
,F063,Philippines,,,,
,F048,Poland,,,,
,F351,Portugal,,,,
,F974,Qatar,,,,
,F262,Reunion Island,,,,
,F040,Romania,,,,
,F007,Russia,,,,
,F250,Rwanda,,,,
,F290,Saint Helena,,,,
,F378,San Marino,,,,
,F239,São Tomé & Principé,,,,
,F966,Saudi Arabia,,,,
,F221,Senegal,,,,
,F248,Seychelles,,,,
,F232,Sierra Leone,,,,
,F065,Singapore,,,,
,F421,Slovakia,,,,
,F386,Slovenia,,,,
,F677,Solomon Islands,,,,
,F252,Somalia,,,,
,F027,South Africa,,,,
,F082,South Korea,,,,
,F034,Spain,,,,
,F027,South Africa,,,,
,F082,South Korea,,,,
,F034,Spain,,,,
,F094,Sri Lanka,,,,
,F508,St Pierre & Miquélon,,,,
,F249,Sudan,,,,
,F597,Suriname,,,,
,F268,Swaziland,,,,
,F046,Sweden,,,,
,F041,Switzerland,,,,
,F963,Syria,,,,
,F886,Taiwan,,,,
,F992,Tajikistan,,,,
,F255,Tanzania,,,,
,F066,Thailand,,,,
,F228,Togo,,,,
,F057,Colombia,,,,
,F242,Congo,,,,
,F682,Cook Islands,,,,
,F506,Costa Rica,,,,
,F385,Croatia,,,,
,F053,Cuba,,,,
,F357,Cyprus,,,,
,F420,Czech Republic,,,,
,F045,Denmark,,,,
,F246,Diego Garcia,,,,
,F253,Djibouti,,,,
,F670,East Timor,,,,
,F593,Ecuador,,,,
,F020,Egypt,,,,
,F503,El Salvador,,,,
,F240,Equatorial Guinea,,,,
,F291,Eritrea,,,,
,F372,Estonia,,,,
,F251,Ethiopia,,,,
,F298,Færoe Islands,,,,
,F500,Falkland Islands,,,,
,F679,Fiji,,,,
,F358,Finland,,,,
,F033,France,,,,
,F689,French Polynesia,,,,
,F241,Gabon,,,,
,F220,Gambia,,,,
,F995,Georgia,,,,
,F049,Germany,,,,
,F233,Ghana,,,,
,F350,Gibraltar,,,,
,F030,Greece,,,,
,F299,Greenland,,,,
,F590,Guadeloupe,,,,
,F502,Guatemala,,,,
,F594,Guiana (French),,,,
,F224,Guinea,,,,
,F245,Guinea-Bissau,,,,
,F592,Guyana,,,,
,F509,Haiti,,,,
,F265,Malawi,,,,
,F060,Malaysia,,,,
,F960,Maldives,,,,
,F223,Mali,,,,
,F356,Malta,,,,
,F692,Marshall Islands,,,,
,F596,Martinique,,,,
,F222,Mauritania,,,,
,F230,Mauritius,,,,
,F269,"Mayotte, Comoros Is.",,,,
,F052,Mexico,,,,
,F691,Micronesia,,,,
,F373,Moldova,,,,
,F377,Monaco,,,,
,F976,Mongolia,,,,
,F212,Morocco,,,,
,F258,Mozambique,,,,
,F095,Myanmar (Burma),,,,
,F264,Namibia,,,,
,F674,Nauru,,,,
,F977,Nepal,,,,
,F031,Netherlands,,,,
,F599,Netherlands Antilles,,,,
,F687,New Caledonia,,,,
,F064,New Zealand,,,,
,F505,Nicaragua,,,,
,F227,Niger,,,,
,F234,Nigeria,,,,
,F683,Niue,,,,
,F850,North Korea,,,,
,F047,Norway,,,,
,F968,Oman,,,,
,F092,Pakistan,,,,
,F680,Palau,,,,
,F970,Palestine,,,,
,F507,Panama,,,,
,F675,Papua New Guinea,,,,
,F595,Paraguay,,,,
,F051,Peru,,,,
,F690,Tokelau,,,,
,F676,Tonga,,,,
,F216,Tunisia,,,,
,F090,Turkey,,,,
,F993,Turkmenistan,,,,
,F688,Tuvalu,,,,
,F001,U.S.A.,,,,
,F256,Uganda,,,,
,F380,Ukraine,,,,
,F971,United Arab Emirates,,,,
,F044,United Kingdom,,,,
,F598,Uruguay,,,,
,F998,Uzbekistan,,,,
,F678,Vanuatu,,,,
,F379,Vatican City,,,,
,F058,Venezuela,,,,
,F084,Viet Nam,,,,
,F681,Wallis and Futuna,,,,
,F685,Western Samoa,,,,
,F967,Yemen,,,,
,F381,Yugoslavia,,,,
,F243,Zaire,,,,
,F260,Zambia,,,,
,F263,Zimbabwe,,,,