,HHID,Subward,Radio,Television,Newspapers,AgExtension,Veterinarian,MigrantLabor,OtherGov,LocalFriend,DistantFriend,Religious,Scientist,SocialMedia,SourceNumber,SourceIndex,PublicSources
165,2309030,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.811791097253059,0
166,2309032,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
167,2309033,2309,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,0
168,2309036,2309,0.0,4.0,3.0,0.0,3.0,0.0,1.0,4.0,0.0,1.0,1.0,4.0,8,1.8763332737455345,1
169,2309037,2309,4.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,7,1.41531772737071,1
170,2309039,2309,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,4,0.03227108824623762,0
171,2309041,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2,-0.8897600045034108,0
172,2309042,2309,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4,0.03227108824623762,0
173,2309045,2309,2.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,5,0.49328663462106176,0
174,2309053,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2,-0.8897600045034108,0
175,2309054,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,-0.8897600045034108,0
176,2309055,2309,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3,-0.4287444581285865,0
177,2309056,2309,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3,-0.4287444581285865,0
178,2309057,2309,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,4,0.03227108824623762,0
179,2309059,2309,3.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,5,0.49328663462106176,0
180,2309067,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2,-0.8897600045034108,0
181,2309068,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,-0.8897600045034108,0
182,2309070,2309,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,0
183,2309071,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,3,-0.4287444581285865,0
184,2309074,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
185,2309075,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2,-0.8897600045034108,0
186,2309079,2309,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,-0.8897600045034108,0
187,2309080,2309,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,4,0.03227108824623762,1
188,2309081,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,3,-0.4287444581285865,0
189,2309082,2309,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,0.0,4.0,5,0.49328663462106176,1
190,2309083,2309,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0,5,0.49328663462106176,1
191,2309084,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
192,2309085,2309,0.0,3.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,4.0,6,0.9543021809958859,1
193,2309086,2309,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,4.0,5,0.49328663462106176,1
194,2309087,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2,-0.8897600045034108,0
195,2309088,2309,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,4.0,5,0.49328663462106176,0
196,2309089,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2,-0.8897600045034108,0
197,2309092,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.811791097253059,0
198,2309093,2309,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4,0.03227108824623762,0
199,2309094,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
200,2309097,2309,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4,0.03227108824623762,0
201,2309098,2309,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3,-0.4287444581285865,0
202,2309100,2309,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
203,2309101,2309,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3,-0.4287444581285865,0
204,2309102,2309,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,1
205,2309127,2309,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2,-0.8897600045034108,0
206,2309128,2309,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,5,0.49328663462106176,0
207,2309133,2309,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3,-0.4287444581285865,0
208,2309134,2309,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,5,0.49328663462106176,0
209,2309139,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2,-0.8897600045034108,0
210,2309140,2309,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,0
211,2309141,2309,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,4,0.03227108824623762,0
212,2309147,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2,-0.8897600045034108,0
213,2309150,2309,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4,0.03227108824623762,0
214,2309151,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
215,2309152,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,3,-0.4287444581285865,0
216,2309154,2309,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,6,0.9543021809958859,0
217,2309155,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
218,2309158,2309,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,4.0,5,0.49328663462106176,1
219,2309159,2309,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,4,0.03227108824623762,0
220,2309160,2309,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4,0.03227108824623762,0
221,2309163,2309,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4,0.03227108824623762,0
222,2309165,2309,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,5,0.49328663462106176,0
223,2309170,2309,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3,-0.4287444581285865,0
224,2309171,2309,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,5,0.49328663462106176,0
225,2309174,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2,-0.8897600045034108,0
226,2309183,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2,-0.8897600045034108,0
227,2309184,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2,-0.8897600045034108,0
228,2309185,2309,0.0,2.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,1.0,8,1.8763332737455345,1
229,2309187,2309,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,4,0.03227108824623762,0
230,2309189,2309,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3,-0.4287444581285865,1
231,2309191,2309,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5,0.49328663462106176,1
232,2309192,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,-0.8897600045034108,0
233,2309196,2309,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4,0.03227108824623762,0
234,2309197,2309,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6,0.9543021809958859,1
235,2309198,2309,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,5,0.49328663462106176,0
236,2309199,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2,-0.8897600045034108,0
237,2309204,2309,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,5,0.49328663462106176,0
238,2309205,2309,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,6,0.9543021809958859,1
239,2309207,2309,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,4,0.03227108824623762,0
240,2309208,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2,-0.8897600045034108,0
241,2309211,2309,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,3,-0.4287444581285865,0
242,2309212,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,-1.3507755508782349,0
243,2309214,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3,-0.4287444581285865,0
244,2309217,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,-1.3507755508782349,0
245,2309218,2309,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2,-0.8897600045034108,1
246,2309219,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
247,2309222,2309,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,5,0.49328663462106176,0
248,2309227,2309,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3,-0.4287444581285865,0
249,2309228,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2,-0.8897600045034108,0
250,2309229,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2,-0.8897600045034108,0
251,2309232,2309,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4,0.03227108824623762,0
252,2309233,2309,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,4,0.03227108824623762,0
253,2605003,2605,1.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,4.0,0.0,0.0,4.0,10,2.798364366495183,1
254,2605004,2605,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,6,0.9543021809958859,0
255,2605005,2605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2,-0.8897600045034108,0
256,2605009,2605,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4,0.03227108824623762,0
257,2605016,2605,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6,0.9543021809958859,1
258,2605017,2605,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2,-0.8897600045034108,1
259,2605018,2605,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3,-0.4287444581285865,0
260,2605019,2605,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-0.8897600045034108,1
261,2605021,2605,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,6,0.9543021809958859,0
262,2605022,2605,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,5,0.49328663462106176,0
263,2605023,2605,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4,0.03227108824623762,0
264,2605024,2605,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3,-0.4287444581285865,0
265,2605025,2605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.811791097253059,0
266,2605026,2605,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4,0.03227108824623762,0
267,2605027,2605,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3,-0.4287444581285865,0
268,2605029,2605,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4,0.03227108824623762,0
269,2605030,2605,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,7,1.41531772737071,0
270,2605031,2605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3,-0.4287444581285865,0
271,2605032,2605,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
272,2605033,2605,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,3,-0.4287444581285865,0
273,2605042,2605,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4,0.03227108824623762,0
274,2605045,2605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,4.0,4,0.03227108824623762,0
275,2605046,2605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.811791097253059,0
276,2605048,2605,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,-0.8897600045034108,1
277,2605049,2605,2.0,1.0,4.0,2.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,2.0,8,1.8763332737455345,1
278,2605050,2605,3.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,3.0,11,3.259379912870007,1
279,2605051,2605,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
280,2605052,2605,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3,-0.4287444581285865,0
281,2605053,2605,3.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,8,1.8763332737455345,1
282,2605055,2605,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,-0.4287444581285865,0
283,2605056,2605,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4,0.03227108824623762,0
284,2605058,2605,4.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,6,0.9543021809958859,0
285,2605059,2605,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,4,0.03227108824623762,0
286,2605061,2605,3.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,3.0,6,0.9543021809958859,1
287,2605062,2605,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,-0.4287444581285865,0
288,2605064,2605,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3,-0.4287444581285865,0
289,2605065,2605,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,4,0.03227108824623762,0
290,2605066,2605,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,4,0.03227108824623762,0
291,2605067,2605,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,6,0.9543021809958859,0
292,2605068,2605,0.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,4.0,6,0.9543021809958859,0
293,2605076,2605,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,5,0.49328663462106176,0
294,2605078,2605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
295,2605080,2605,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2,-0.8897600045034108,0
296,2605081,2605,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,4,0.03227108824623762,1
297,2605083,2605,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2,-0.8897600045034108,0
298,2605084,2605,0.0,0.0,2.0,0.0,2.0,0.0,2.0,4.0,2.0,2.0,0.0,4.0,7,1.41531772737071,1
299,2605085,2605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2,-0.8897600045034108,0
300,2605086,2605,1.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,1.0,3.0,8,1.8763332737455345,0
301,2605089,2605,0.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,6,0.9543021809958859,1
302,2610001,2610,0.0,2.0,0.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,7,1.41531772737071,1
303,2610002,2610,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,7,1.41531772737071,1
304,2610003,2610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
305,2610004,2610,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4,0.03227108824623762,0
306,2610005,2610,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,6,0.9543021809958859,1
307,2610007,2610,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,6,0.9543021809958859,1
308,2610009,2610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2,-0.8897600045034108,0
309,2610010,2610,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,5,0.49328663462106176,0
310,2610011,2610,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4,0.03227108824623762,0
311,2610012,2610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
312,2610013,2610,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3,-0.4287444581285865,0
313,2610014,2610,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,1.0,4,0.03227108824623762,0
314,2610015,2610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
315,2610017,2610,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,5,0.49328663462106176,0
316,2610018,2610,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,5,0.49328663462106176,0
317,2610019,2610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,3,-0.4287444581285865,0
318,2610020,2610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
319,2610021,2610,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3,-0.4287444581285865,0
320,2610022,2610,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,4,0.03227108824623762,1
321,2610023,2610,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4,0.03227108824623762,1
322,2610024,2610,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2,-0.8897600045034108,1
323,2610025,2610,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4,0.03227108824623762,1
324,2610026,2610,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2,-0.8897600045034108,0
325,2610027,2610,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3,-0.4287444581285865,1
326,2610028,2610,4.0,4.0,4.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,4.0,9,2.3373488201203587,1
327,2610029,2610,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,1
328,2610031,2610,4.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,5,0.49328663462106176,0
329,2610032,2610,4.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,4.0,6,0.9543021809958859,1
330,2610033,2610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.811791097253059,0
331,2610034,2610,2.0,2.0,1.0,1.0,0.0,0.0,2.0,4.0,4.0,1.0,0.0,4.0,9,2.3373488201203587,1
